Ens.ID	TPM.bones	TPM.brain	TPM.embryo	TPM.gill	TPM.heart	TPM.intestine	TPM.kidney	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSELUG00000008297	2.22296012767089	11.386314	2.61692600173751	1.221616376	1.226542091128	1.04953407695	1.046620455034	0.513959589055117	0.748387995893	0.42266569747299	1.8704606287
ENSELUG00000008299	2.12877	0.0606027	10.01828	106.8134	0.251914	36.10728	0.0379749	0.856383	0.0373587	40.53759	0.243161
ENSELUG00000008300	0.877248	5.42013	5.03537	2.9654	0.0595807	2.90359	0	0.0280214	0	0.060549	4.76797
ENSELUG00000008301	4.29863	11.20566	8.64181	0.746078	4.040245	1.603218	1.745108	0.573378	0	0.273152	28.72545
ENSELUG00000008302	176.8338	26.921522	7.288034	24.281027	77.095876	50.97467	8.71988	0.90463725152	2.466217	3.957581	53.78399
ENSELUG00000008303	7.57013	0.12391	0.462554	0.0762734	0	10.7184	0	0	0	0	0.732612
ENSELUG00000008304	0	0	0.0646372	0	0	0	0	0	0	0	0.829394
ENSELUG00000008305	63.8959	939.549	75.8123	16.4238	0.974678	48.8946	1.36962	0	0	0	3.76682
ENSELUG00000008306	4.35908	0.146268	18.4344	299.2	0	0	0	0	0	0.260902	0.238743
ENSELUG00000008307	14.3325	17.9235	10.1308	21.7911	16.6912	16.4463	17.5822	9.86766	3.41899	2.4943	24.9499
ENSELUG00000008308	16.42632	28.50475	26.63604	17.12838	78.68014	12.14429	18.93169	8.639681	5.4143183	29.27686	14.712531
ENSELUG00000008309	34.96854	160.30368	55.91569	37.971427123	78.906246	19.473259	77.759028	2.830962802919	1.297343164759	26.0878659257	35.34919235
ENSELUG00000008310	8.55714	17.7267	14.8025	18.9621	7.46243	8.52397	8.56994	5.89279	0.907448	27.2607	18.3128
ENSELUG00000008311	4.00421	8.33399	9.55854	1.87237	1.38259	2.52685	3.02234	0.108134	7.69427	11.0114	43.5876
ENSELUG00000008312	2.68282	0.0665755	12.3376	373.35	0.0573216	0.12466	0	0.0538792	0.22958	1.76018	0.107411
ENSELUG00000008313	0.531286	0.552234	2.17657	5.11324	0.975353	3.01201	7.34596	0.142743	0.584963	0.879217	13.73144
ENSELUG00000008314	5.15297	21.5422	6.49824	7.8294	6.6744	4.65092	8.50432	14.4853	0.226927	7.89348	16.1014
