Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.lung	TPM.muscle	TPM.testis
ENSCAFG00000000260	134.57	52.65	149.61	434.48	157.67	28.03	28.73
ENSCAFG00000000261	23.67	4.2	24.09	6.79	34.56	7.14	86.67
ENSCAFG00000000262	0	0	0	0	0	0	0.4
ENSCAFG00000000263	0.47	0.26	0.32	1.04	1.5	1.9	0.74
ENSCAFG00000000265	0	0	0	0	0	0	0
ENSCAFG00000000267	2.02	1.01	1.33	5.71	21.93	0.72	1.29
ENSCAFG00000000268	0	0	0	0	0	0	0.42
ENSCAFG00000000271	0.16	0	0	0.24	0	0	2.4
ENSCAFG00000000272	21.63	4.39	0.43	1.23	13.23	0.39	5.49
ENSCAFG00000000273	329.1	2.17	0.19	0.83	6.86	2.01	4.78
ENSCAFG00000000274	43.23	53.75	36.56	30.55	21.58	12.18	12.97
ENSCAFG00000000275	10.45	29.68	15.56	7.89	11.52	1.56	3.86
ENSCAFG00000000277	26.83	14.41	16.79	22.3	17.96	14	63.4
ENSCAFG00000000278	26.34	24.2	39.69	21.79	61.13	24.87	32.93
ENSCAFG00000000279	36.88	20.79	35.61	11.29	46	18.2	33.78
ENSCAFG00000000280	40.17	29.05	57.71	21.98	111.41	25.1	75.17
ENSCAFG00000000281	7.6	1.68	44.8	3.24	43.78	1.6	0.89
ENSCAFG00000000282	22.66	14.11	11.43	3.95	55.56	25.22	18.28
ENSCAFG00000000283	0.29	76.28	0.22	0.07	0.78	175.54	0.24
ENSCAFG00000000285	36.2	40.72	14.69	17.91	71.3	9.88	15.64
ENSCAFG00000000287	0.07	0.06	17.97	0.04	1.64	0.1	1.28
ENSCAFG00000000288	0.12	0.11	0.06	0.08	0.47	0	0.63
ENSCAFG00000000289	0.12	0	0	0	0	0	0.1
ENSCAFG00000000290	6.45	1.66	5.61	0.93	3.58	2.06	51.53
ENSCAFG00000000291	0	0.75	0.1	0	0	0.89	0.14
ENSCAFG00000000293	107.97	63.28	76.24	36.54	72.34	67.7	241.64
ENSCAFG00000000294	3.12	0	0.08	0	0.05	0	3.6
ENSCAFG00000000295	40.33	13.65	14.79	10.63	32.54	11.12	18.58
ENSCAFG00000000296	4.18	0.84	6.79	0.69	19.25	0.28	0.63
ENSCAFG00000000297	0.51	0.43	2.41	0.53	22.26	0.31	0.69
ENSCAFG00000000300	53.83	7.05	7.67	2.88	33.12	20.06	2.68
ENSCAFG00000000303	19.94	7.15	19.83	35.25	27.86	8.38	10.5
ENSCAFG00000000304	0	0	0	0	0	0	0
ENSCAFG00000000305	14.59	2.73	3.2	3.34	14.87	4.93	2.27
ENSCAFG00000000307	15.23	5.99	9.99	8.54	27.06	4.23	41.22
ENSCAFG00000000308	42.35	28.1	56.54	36.05	136.32	15.02	102.2
ENSCAFG00000000309	27.73	8.08	104.96	39.44	50.87	3.07	6
ENSCAFG00000000310	11.63	1.54	7.66	4.95	11.74	5.38	6.02
ENSCAFG00000000311	3.45	0.36	6.8	9.4	20.41	0.76	1.04
ENSCAFG00000000312	23.58	19.51	18.57	8.87	119.08	5.57	13.84
ENSCAFG00000000314	15.17	5.16	7.34	2.91	17.67	7.79	44.57
ENSCAFG00000000316	6.9	20.92	10.27	47.12	17.97	3.87	1.52
ENSCAFG00000000317	0.28	0.15	0.16	0	0.58	0	187.79
ENSCAFG00000000318	3.54	3.02	4.02	0.53	14.81	1.75	2.44
ENSCAFG00000000320	90.88	216.2	121.68	90.66	178.52	118.2	289.81
ENSCAFG00000000322	1.65	2.87	1.46	1.19	40.72	1.44	1.49
ENSCAFG00000000323	16.53	9.13	8.66	5.42	17.37	14.57	56.5
ENSCAFG00000000324	0	0	0	0	0.33	0	0
ENSCAFG00000000326	16.24	16.95	17.97	10.89	91.68	6.58	4.92
ENSCAFG00000000327	0.94	0.12	0.07	0.08	0.84	0.07	0
ENSCAFG00000000329	3.49	4.8	1.52	1.25	1.95	11.64	5.98
ENSCAFG00000000330	6.24	12.72	5.04	4.45	21.48	3.68	12.63
ENSCAFG00000000331	1.75	0	0.42	0.68	0	0	0
ENSCAFG00000000332	1.91	0	0	0	0	0	1.23
ENSCAFG00000000333	26.93	8.75	15.65	12.49	34.59	6.27	18.53
ENSCAFG00000000334	4.27	3.3	0.7	0.32	26.02	3.53	3.14
ENSCAFG00000000335	8.66	2.09	3.79	2.64	10.88	1.39	5.89
ENSCAFG00000000336	85.13	38.42	69.9	39.43	191.17	38.55	71.28
ENSCAFG00000000337	70.07	8.03	54.66	17.65	34.19	2.97	51.28
ENSCAFG00000000338	20.53	0	0.01	0.01	0	0	0.42
ENSCAFG00000000339	13.42	1.63	18.48	0.1	1.04	1.47	0.93
ENSCAFG00000000340	31.21	20.16	27.97	15.99	42.82	51.94	69
ENSCAFG00000000341	5.82	2.02	6.17	2.81	5.48	4.52	32.5
ENSCAFG00000000344	7.89	3.49	9.06	4.35	33.93	3.29	7.31
ENSCAFG00000000345	3.17	0.69	0.72	0.11	6.6	0.21	2.03
ENSCAFG00000000347	1.18	0.25	0	0	0	0.14	63.1
ENSCAFG00000000348	248.93	175.62	265.8	166.04	274.04	34.53	111
ENSCAFG00000000350	7.47	9.64	9.26	6.68	37.97	4.56	15.85
ENSCAFG00000000351	0.21	0.12	0.92	0.25	1.19	0.17	11.79
ENSCAFG00000000352	73.17	15.05	46.58	76.29	55.79	10.22	46.39
ENSCAFG00000000353	47.84	4.29	10.27	6.69	22.62	2.95	29.06
ENSCAFG00000000354	5.83	0.78	0.55	0.18	6.74	0.44	0.2
ENSCAFG00000000355	43	17.75	66.23	15.41	192.53	11.93	15.62
ENSCAFG00000000356	23.03	6.74	21.01	7.15	26.15	7.28	6.43
ENSCAFG00000000357	0	0	0	0.35	0.5	0	0.37
ENSCAFG00000000359	41.17	84.83	176.94	67.83	130	17.84	110.3
ENSCAFG00000000360	39.11	72.66	51.04	67.31	99.89	126.45	85.93
ENSCAFG00000000361	46.86	0.55	9.51	1.48	14.51	0.48	4.3
ENSCAFG00000000364	4.49	1.45	5.16	0.29	8.9	0.89	3.98
ENSCAFG00000000365	23.56	27.32	27.34	32.82	43.9	56.83	28.67
ENSCAFG00000000366	74.65	35.54	21.13	6.6	103.1	7.41	4.11
ENSCAFG00000000367	0.31	0.16	0.05	0.2	16.17	0	28.51
ENSCAFG00000000370	97.54	57.61	185.9	103.74	178.69	59.04	553.95
ENSCAFG00000000372	16.38	1.8	2.82	0.46	7.44	1.47	3.33
ENSCAFG00000000373	32.08	17.12	30.3	22.41	61.79	18.84	23.36
ENSCAFG00000000374	1.26	1.29	2.08	3.15	8.34	0.87	0.46
ENSCAFG00000000375	0.14	0	0.16	0	1.32	0	0.4
ENSCAFG00000000376	1.47	0	3.67	2.19	13.38	0.57	1.24
ENSCAFG00000000377	231.79	208.69	285.8	122.68	189.81	324.77	118.75
ENSCAFG00000000378	1.51	1.12	2.04	2.37	7.29	0.6	1.49
ENSCAFG00000000379	16.82	4.32	6.56	3.68	21.16	2.27	12.73
ENSCAFG00000000380	13.8	3.59	16.39	6.87	28.38	1.43	10.92
ENSCAFG00000000381	53.86	22.08	42.4	19.11	89.52	17.23	29.66
ENSCAFG00000000382	0	0	0	0	0	0	0
ENSCAFG00000000384	11.53	0.44	1.07	0.27	1.44	0.12	40.25
ENSCAFG00000000385	11.74	13.81	15.1	3.69	18.31	14.32	99.31
ENSCAFG00000000386	11.51	0.08	0.9	547.19	2.99	0.29	1.9
ENSCAFG00000000387	13.03	4.2	9.77	3.75	23.65	2.81	9.12
ENSCAFG00000000388	9.84	4.35	6.84	5.64	16.49	2.78	34.58
ENSCAFG00000000389	0.21	0.09	0.18	0.12	0.17	0	0.25
