Ens.ID	TPM.kidney	TPM.testis	TPM.heart	TPM.brain	TPM.muscle	TPM.colon	TPM.lung	TPM.spleen	TPM.liver
ENSMMUG00000015697	29.012648	22.442366	7.813048	4.353076	5.175717	8.792614	37.002106	17.03402	4.303136
ENSMMUG00000015698	0	0	0	0	0	0	0	0	0.140357
ENSMMUG00000015699	0.72343	0	2.801519	0	0.943706	13.140398	0.969321	1.925287	1.68681
ENSMMUG00000015700	0	0	0	0	0	0	0	0	0
ENSMMUG00000015701	40.165544	24.246538	9.481088	13.933762	6.2174	27.107768	60.482713	53.468526	10.287057
ENSMMUG00000015702	0	0	0.412396	1.309765	0	0	0	0.613908	0.298849
ENSMMUG00000015703	0	0	0	0	0	0.351023	0.260346	0.907005	0
ENSMMUG00000015704	1.282434	2.120066	0.092323	3.588355	0.706365	3.67589	4.885375	5.413309	1.124617
ENSMMUG00000015705	0	1.386495	0	9.608651	0.368766	0	0.404161	0.09212	0
ENSMMUG00000015706	0	12.203058	0.027956	0.717095	0	0	0	0	0.043398
ENSMMUG00000015707	3.586516	2.886757	3.533213	7.385926	1.059142	12.583568	35.933437	28.912533	5.101604
ENSMMUG00000015708	93.284777	49.251009	28.297865	124.076359	39.212557	220.222484	225.284062	200.927888	102.808248
ENSMMUG00000015709	0	0.646335	0	0.216684	0	0.071779	0	0	0
ENSMMUG00000015710	6.678677	11.942479	4.809179	55.51777	1.147808	21.611804	34.410224	39.101736	9.406192
ENSMMUG00000015711	0.359662	4.245202	0.435294	3.126442	178.287848	4.71661	5.731224	10.855088	2.803478
ENSMMUG00000015712	2.00061	0.154637	0.271676	12.730111	0.022684	0	0.029669	0.096517	0
ENSMMUG00000015713	43.338015	68.160754	62.975666	78.843763	22.816846	79.034075	110.770526	91.727417	43.723762
ENSMMUG00000015714	28.971017	76.642759	25.479532	324.167548	59.544581	54.865998	86.561974	78.708955	20.542361
ENSMMUG00000015715	0	0	0	0	0	0	0	0	0
ENSMMUG00000015716	0	1.330441	0	0	0	0	0	0.112338	0
