transcript	TPM.bones	TPM.brain	TPM.embryo	TPM.lung	TPM.heart	TPM.intestine	TPM.kidney	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSELUT00000009711.1	0.17401	0	0.16302	0	0	0.0513178	0.482188	0	0	5.52434	11.4937
ENSELUT00000009712.1	3.7992	4.71192	2.66609	10.134	3.85339	6.7527	0.0291687	0.0607601	0.0574614	3.75481	4.87778
ENSELUT00000009713.1	0	0	0.230588	0.653203	0	0	0.612597	0	0	0	0.546524
ENSELUT00000009714.1	1.15153	0.68172	0.0701889	0	0.111095	0.166156	0	0	0.00684975	0	0.100253
ENSELUT00000009715.1	3.76743	6.40054	7.07436	6.5219	5.25075	5.7703	11.5598	1.51132	0.483763	19.7242	17.2979
ENSELUT00000009716.1	16.1487	9.48006	4.91257	28.2059	11.4145	12.5348	20.9895	2.28294	1.46956	1.02214	11.1765
ENSELUT00000009717.1	6.27168	9.23151	6.2001	9.82458	5.4791	8.02881	10.9865	6.83501	0.711479	7.33793	9.66767
ENSELUT00000009718.1	0.271794	1.78876	1.17794	0.148439	0	0	0	0	0	7.95567	47.0041
ENSELUT00000009719.1	0	0	0	0	0	0	0	0	0	0	0
ENSELUT00000009720.1	6.62886e-10	0	0.377284	0	0.587753	0.469698	0	0.303681	4.42005e-08	0	6.18261
ENSELUT00000009721.1	0.0790111	0.246696	0.0860912	0.608433	0	0.0855209	0	0.0254419	0.0369148	0.105408	0.179403
ENSELUT00000009722.1	12.5321	3.6146	1.25129	11.0656	12.7905	18.629	78.2693	7.16435	1.33864	4.53886	8.9244
ENSELUT00000009723.1	7.73972	10.9175	7.77566	11.3535	4.19449	8.53865	13.2333	4.60386	1.32428	16.1494	16.2128
ENSELUT00000009724.1	0	0	0	0.427329	0	0	0.324064	0	0	2.13785	0
ENSELUT00000009725.1	4.21503	3.91915	32.4559	11.0823	3.48909	4.36062	18.2144	0.727806	0.290982	73.2903	4.46815
ENSELUT00000009726.1	72.5801	61.86	93.0015	43.8546	57.7037	94.7354	71.7136	17.6259	56.7945	68.7734	94.7379
ENSELUT00000009727.1	460.263	0.0431085	73.3335	1.23783	0.653966	0.371033	0.204606	0.0169224	12.5076	0	0.201179
ENSELUT00000009728.1	9.5307e-07	1.53526	0.657183	0.92098	1.51281	3.77046	0	8.8288e-07	1.24875	0	0
ENSELUT00000009729.1	9.87489	18.133	2.52196	8.41958e-08	8.78284e-08	0.652212	22.9285	0.205321	3.75525e-08	0.593603	2.96689
ENSELUT00000009730.1	0.933322	6.0046	0.95804	0.991063	0.241331	0	0.944425	0	0	0	1.01418
ENSELUT00000009731.1	0	0.97393	0	0	0.268106	0	0	0	0	0.375221	0
ENSELUT00000009732.1	0.354797	5.31783	0.193412	1.08284	0	0.0782936	0	0	0.192818	0.220568	1.14437
ENSELUT00000009733.1	2.0287	8.51902	20.457	1.36112	1.36254	8.7899	0.924318	3.52928	0.0473524	0.439257	18.2479
ENSELUT00000009734.1	0	0	0	0	0	0	0	0	0	0	2.38815
ENSELUT00000009735.1	2.39851	3.36238	0.706517	1.33812	6.26156	3.92821	2.45156	2.2729	0.231236	0.47432	21.3025
ENSELUT00000009736.1	0	4.03165	6.44815	0	0	0.249765	0	0	0	0	0
ENSELUT00000009737.1	1.02897	3.68981	0.959122	2.88071	3.00239	1.37727	4.35013	0.488704	0.27969	0	17.9039
ENSELUT00000009738.1	1.04259	4.08358	1.11483	0.362913	0	0	2.80845	0	0	0.165678	0.724745
ENSELUT00000009739.1	10.1467	5.54731	3.09716	26.3243	8.26621	12.0551	19.6128	0.27138	0.35916	1.03025	8.53451
ENSELUT00000009740.1	14.7226	0.0759838	5.75461	0.156494	0.069492	0	0.044014	0	26.8809	0	0.591035
ENSELUT00000009741.1	0.446256	0.209333	70.1652	1.92577	0	0	0	0	0.238391	0	0.344516
ENSELUT00000009742.1	2.71648	5.95282	3.51339	4.64741	4.77794	4.44401	5.88753	1.96765	1.11962	12.274	10.8098
ENSELUT00000009743.1	13.5261	18.1236	9.9901	10.4637	26.7305	9.51278	9.8316	2.25106	3.20711	12.4946	70.6226
ENSELUT00000009744.1	2.50916	9.98172	10.3387	12.7359	4.49337	10.0612	10.5302	5.48517	0.672108	9.88248	10.6857
ENSELUT00000009745.1	1.65008	0	0.160833	11.7225	2.23008	10.7391	13.9758	0	0	52.8024	0
ENSELUT00000009746.1	11.4741	8.12086	86.0122	31.4603	13.2053	10.6411	47.8677	3.05877	1.13129	220.046	10.5149
ENSELUT00000009747.1	0	0	183.842	4.09613	0	0	0	0	0	0	0
ENSELUT00000009748.1	9.98529	43.5886	11.9205	35.7886	1.32026	2.42662	3.09416	4.30015	0.160239	0.564759	6.48359
ENSELUT00000009749.1	13.6957	32.0294	6.99429	4.79476	36.8779	22.7338	11.342	1.07371	0.127043	54.8007	6.93803
ENSELUT00000009750.1	4.30511	14.2483	9.7514	26.1595	8.11417	13.272	14.503	12.6109	0.481993	16.7121	16.4462
ENSELUT00000009751.1	3.00474	4.16542	3.24803	2.60576	4.17842	6.96876	6.69662	1.78235	0.72527	5.7921	6.09287
ENSELUT00000009752.1	2.72151	1.40346	0	4.77642	7.15939	5.31478	24.1217	2.8185	0	1.34265	3.4434
ENSELUT00000009753.1	0.790524	0.4276	0	0	0	0.42355	0	0	0	0.446088	7.16962
ENSELUT00000009754.1	32.7926	161.613	9.14744	8.32339	4.24235	4.32362	1.35364	1.51782	7.46991	7.416	14.6004
ENSELUT00000009755.1	1.23124	11.7216	4.24108	2.56053	0.298536	0	0.130029	0	0.270278	2.07461	0.493197
ENSELUT00000009756.1	3.98688e-10	15.4835	11.8399	0.0130443	0.000508541	1.1285	0.0750219	0	0	0.329798	6.39531
ENSELUT00000009757.1	12.1993	29.4763	35.9096	25.9148	32.0625	20.6363	20.1064	19.0942	3.99023	15.4497	19.5443
ENSELUT00000009758.1	1.56885	4.4633	1.23214	2.71014	2.41491	0	2.70161	1.35579	0	0.392172	1.47495
ENSELUT00000009759.1	0	0	0.140033	0.139299	0.186968	0	0	0	0.0567049	0	0
ENSELUT00000009760.1	0	0.425558	0	1.34934	0	0.00129671	3.70688	0.194436	0.0306482	2.71919	0.469312
ENSELUT00000009761.1	7.30124	0.943191	6.10345	0.310746	13.6079	0.835891	0.747326	0.196862	2.45121	4.67982	17.1422
ENSELUT00000009762.1	2.91345	5.48246	2.60711	6.30607	3.37147	4.43561	7.41664	1.28827	1.21053	3.28269	21.1215
ENSELUT00000009763.1	0.900332	6.11731	0.694153	0.0148402	1.03413	0.391039	0.583787	0.00811628	0.170994	0.38351	4.18738
