Ens.ID	TPM.kidney	TPM.testis	TPM.heart	TPM.brain	TPM.muscle	TPM.colon	TPM.lung	TPM.spleen	TPM.liver
ENSBTAG00000007703	7.612832	27.144064	2.346708	28.414511	2.504779	5.236422	9.052418	7.488344	26.692979
ENSBTAG00000007704	34.914129	0.898998	0.257843	2.838793	1.025232	0.690766	3.176845	0.286047	0.081842
ENSBTAG00000007705	29.12573	1.29763	2.134588	1.06733	2.435359	32.109287	50.620246	4.005855	0.331881
ENSBTAG00000007706	0	0.107882	0	0	0	0	0	0	0
ENSBTAG00000007708	0.848535	2.798196	0.185338	47.695429	0.231614	3.061643	2.405963	2.268373	0.266364
ENSBTAG00000007709	13.29523	35.996903	1.395125	14.203325	2.974763	7.339736	18.946474	29.516935	2.752626
ENSBTAG00000007712	19.406935	35.166678	6.328754	27.279528	9.446079	33.434393	24.874167	28.999759	15.334702
ENSBTAG00000007714	5.576226	5.711553	1.478733	4.961118	2.864025	5.046153	5.958009	3.265846	3.391949
ENSBTAG00000007718	9.402172	20.065091	1.445568	0.669132	1.197646	32.826304	19.746541	16.360573	6.561517
ENSBTAG00000007719	13.241999	6.121914	0.608452	46.889558	1.307744	29.153365	16.136318	4.644967	1.876855
ENSBTAG00000007720	0.134975	0.275643	0.090822	0	0	0.597611	3.695915	18.376916	0.425373
ENSBTAG00000007721	44.817478	43.605385	10.595022	51.26528	19.113932	51.814852	80.046846	121.376113	27.103781
ENSBTAG00000007722	8.811277	10.388648	3.733749	10.803542	6.289838	14.331963	13.311642	9.046469	5.637375
ENSBTAG00000007723	11.929126	7.350256	2.898927	19.861548	5.701176	22.491067	18.330189	10.72174	11.697998
ENSBTAG00000007724	0.054801	69.349598	0.011414	0.31666	0	0	0	0.05876	0.017961
ENSBTAG00000007725	233.984795	265.598323	155.126902	220.373774	116.009888	355.591903	309.404529	194.573064	110.679164
ENSBTAG00000007728	41.477669	130.3754	15.625782	70.807695	22.754875	67.394366	37.34118	47.232561	23.634278
ENSBTAG00000007729	0	0.139443	0	0	0	0	0	0	0
ENSBTAG00000007730	6.735465	5.618833	0.743307	5.077039	4.308196	5.476584	8.852975	21.836962	3.86144
ENSBTAG00000007731	6.650629	16.483216	1.298771	27.594213	12.45617	8.562113	9.506472	11.833951	3.591005
ENSBTAG00000007732	0.859927	1.116963	0.020647	224.616354	36.91499	0.660918	0.619194	1.179131	0.032827
ENSBTAG00000007734	25.200974	218.93552	25.310596	27.553632	45.779079	20.868754	40.071374	39.589472	11.464507
ENSBTAG00000007736	0.046756	0.321799	0	0.566723	0.086213	0.02973	0	0	0
ENSBTAG00000007737	812.688702	1571.821958	886.520725	785.395496	808.030742	1668.321727	1515.532544	1901.112899	904.037441
ENSBTAG00000007739	39.362128	16.988557	36.932108	192.765877	58.570428	62.986195	41.410225	26.864077	57.67586
ENSBTAG00000007740	8.341044	9.195192	2.215549	11.642434	1.637408	46.890602	34.099779	22.587954	3.730048
ENSBTAG00000007741	1.666401	0.497912	0.068078	2.755195	0.193038	6.394904	0.929025	0.074748	0.045319
ENSBTAG00000007743	3.539715	3.403563	0.333681	4.837927	2.77655	2.61063	3.875153	6.90762	1.792005
ENSBTAG00000007746	5.941322	20.764688	1.589324	5.984585	2.210845	11.150142	28.217979	13.284807	10.290722
ENSBTAG00000007749	2.471774	4.923902	0.716301	1.511558	0.674315	14.505628	4.976464	5.38883	1.606583
ENSBTAG00000007750	0.19533	0.551772	0	0.154286	0	0.132391	0.431014	0.488738	0.272071
ENSBTAG00000007753	4.47709	42.691075	0.245948	114.229156	0.818769	6.306609	3.492823	1.745857	1.795689
ENSBTAG00000007754	253.857575	196.480763	677.793699	532.017011	339.985031	190.296534	111.04052	82.662674	199.224435
ENSBTAG00000007755	2.366993	13.507652	0.764418	0.392579	0.34802	16.402795	21.157493	44.500459	2.074411
ENSBTAG00000007756	13.089803	76.787402	10.263941	38.380817	54.024916	32.413174	16.248529	13.403074	13.497696
ENSBTAG00000007757	21.48558	80.166573	14.443566	51.539776	23.219348	37.021616	25.274997	23.958958	22.552453
ENSBTAG00000007758	0.663396	57.880497	0.193098	5.390475	0.1565	0.437171	0.202504	0.782623	0.705371
