Ens.ID	TPM.brain	TPM.embryo	TPM.heart	TPM.kidney	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSONIG00000002866	0	0.584598333333333	0.0385506666666667	0	0.0937356666666667	0	0.0449803333333333	1.32437933333333
ENSONIG00000002867	47.3829666666667	27.5746333333333	13.8826666666667	27.5352	7.12708666666667	21.5066	242.72	149.01
ENSONIG00000002868	1.00476533333333	0.345185666666667	1.89668466666667	1.06363566666667	0.0730013333333333	0.293862	0.080579	1.68831666666667
ENSONIG00000002869	4.24174	2.73715666666667	1.08631233333333	5.49954666666667	3.73960333333333	1.68659666666667	36.8668333333333	9.4058
ENSONIG00000002870	1.14931633333333	1.227643	0.527383	1.75289666666667	0.0613960333333333	0.311289666666667	0.123872	2.45619666666667
ENSONIG00000002871	3.35291	2.23252666666667	0.0286566666666667	0	0	0.0429243333333333	0.120378666666667	0.740643
ENSONIG00000002872	25.0548	6.44289	4.651633	6.76370333333333	3.10242366666667	2.00686266666667	5.59769333333333	6.28011333333333
ENSONIG00000002873	32.5914	35.0072	17.7194	33.6015666666667	11.4511633333333	47.0404333333333	43.5287333333333	55.9504
ENSONIG00000002874	0.150580633333333	105.881	225.142333333333	0.160018333333333	0.137913666666667	841.196333333333	0.152362	1.04245866666667
ENSONIG00000002875	15.1935666666667	7.38206666666667	5.29113	7.38988666666667	2.45628666666667	8.09303666666667	7.38766666666667	33.8142333333333
ENSONIG00000002876	11.7505333333333	10.3507366666667	9.03646	29.3739333333333	5.2595	3.59159	32.8023666666667	38.5525666666667
ENSONIG00000002877	2.22399066666667	1.12137533333333	3.8089939	1.130589	0	0.911681333333333	1.589337	4.28760166666667
ENSONIG00000002878	18.1646666666667	7.5781	4.28973666666667	14.9162666666667	3.86666333333333	3.8006	38.8061	32.8575
ENSONIG00000002879	0	0.0356296666666667	0.173205233333333	0.0574696666666667	0	0	0.0301760333333333	0.320125
ENSONIG00000002880	10.8255633333333	7.03598	7.90110666666667	11.5349	2.75741	7.89397333333333	9.39800666666667	13.8429666666667
ENSONIG00000002881	20.3655666666667	9.87805733333333	17.8459	13.2073526666667	2.54766333333333	4.77279333333333	18.0641333333333	47.158769
ENSONIG00000002882	0.592573	1.23870666666667	1.633522	1.25714633333333	0.0646880333333333	0.115195333333333	0.246975333333333	0.440344333333333
ENSONIG00000002883	3.35857333333333	1.43951333333333	9.14448666666667	3.68731333333333	0.105864033333333	1.51510666666667	0.360800666666667	1.30828666666667
ENSONIG00000002884	28.5726	14.3425666666667	13.0064333333333	24.7807333333333	5.36120666666667	10.2975133333333	9.30981666666667	44.1586
ENSONIG00000002885	10.5809166666667	0.621267	0.204265	0.40028	0.597832333333333	0.0397316666666667	0.134410666666667	3.66445666666667
ENSONIG00000002886	0.261669333333333	0.0380341333333333	0.00563604666666667	3.32941333333333	0	0.290797333333333	10.9224666666667	4.7196
ENSONIG00000002887	0.496830333333333	0.705655333333333	0	0.120465166666667	0	0	0	0.477079666666667
ENSONIG00000002888	0.160598	0.0332228333333333	0.0512042333333333	0.0268613333333333	0.0254193666666667	4.96942333333333	122.197	0.105396
ENSONIG00000002889	5.89812666666667	2.13512	0.876656	5.10682333333333	0.476866333333333	0.808454333333333	16.0871168333333	6.000991
ENSONIG00000002890	26.6551666666667	14.1255666666667	1.48039666666667	0.802494333333333	0.0925575	1.92732666666667	0.520220333333333	2.61995666666667
ENSONIG00000002891	32.0443	18.8447666666667	16.8242333333333	210.136	13.0065	19.3506333333333	44.9302666666667	35.239
ENSONIG00000002892	9.32506666666667	4.98612666666667	6.22146333333333	13.3775	1.78899	2.96362666666667	25.1161	54.2880666666667
ENSONIG00000002893	24.4841366666667	9.93658333333333	5.74877666666667	10.050319	1.74922333333333	6.49928666666667	27.9292333333333	23.3510666666667
ENSONIG00000002894	0.682055333333333	1.48415	0.177457333333333	0.718732666666667	0	0.180637666666667	0.0488264333333333	4.13947
ENSONIG00000002895	22.3515333333333	5.41301	0.917331	12.2885666666667	0.238921	0.727761666666667	13.9321	59.851
ENSONIG00000002896	12.2619666666667	2.85003666666667	0.0822894666666667	0.0688222333333333	0	0.0195689666666667	0.0132309333333333	0.297714333333333
ENSONIG00000002897	0	2.19842066666667	0	0	0	0	0	0.194201
