Gene,From,To,JumpProbability
1015,42,44,0.2037
1015,44,45,0.5694
1015,45,21,0.268
1015,45,22,0.2619
1015,44,23,1
1017,26,27,0.3466
1017,27,28,0.1602
1017,28,1,0.0417
1017,28,29,0.0404
1017,29,30,0.0025
1017,30,31,0.0054
1017,31,32,0.0345
1017,32,2,0.058
1017,32,3,0.0057
1017,31,4,0.0239
1017,30,5,0.0558
1017,29,33,0.0178
1017,33,34,0.0197
1017,34,6,0.0054
1017,34,7,0.0072
1017,33,8,0.014
1017,27,35,0.1212
1017,35,36,0.0162
1017,36,37,0.0525
1017,37,9,0.0519
1017,37,10,0.0398
1017,36,11,0.061
1017,35,12,0.1296
1017,26,38,0.3413
1017,38,39,0.1251
1017,39,40,0.0146
1017,40,13,0.0665
1017,40,14,0.0607
1017,39,41,0.047
1017,41,15,0.0443
1017,41,16,0.0403
1017,38,42,0.0517
1017,42,43,0.0895
1017,43,17,0.0587
1017,43,44,0.04
1017,44,45,0.0029
1017,45,46,0.006
1017,46,47,0.0362
1017,47,18,0.0197
1017,47,19,0.0313
1017,46,20,0.0359
1017,45,21,0.0192
1017,44,48,0.0165
1017,48,22,0.014
1017,48,49,0.0158
1017,49,23,0.9692
1017,49,24,0.0289
1017,42,25,0.1102
1018,23,24,0.0083
1018,24,25,0.2058
1018,25,26,0.0101
1018,26,1,0.0027
1018,26,2,0.0027
1018,25,3,0.0025
1018,24,27,0.0099
1018,27,28,0.0914
1018,28,29,0.0224
1018,29,30,0.0022
1018,30,31,0.0228
1018,31,4,7e-04
1018,31,5,7e-04
1018,30,32,0.004
1018,32,33,0.0204
1018,33,6,3e-04
1018,33,7,0
1018,32,8,6e-04
1018,29,34,0.0105
1018,34,9,6e-04
1018,34,35,0.0089
1018,35,10,2e-04
1018,35,11,1e-04
1018,28,36,0.0303
1018,36,12,0.9979
1018,36,13,0.0039
1018,27,37,0.0735
1018,37,38,0.0079
1018,38,39,0.0287
1018,39,14,0.1562
1018,39,15,0.0083
1018,38,16,0.0019
1018,37,17,0.0032
1018,23,40,0.3251
1018,40,41,0.0082
1018,41,42,0.031
1018,42,18,0.0014
1018,42,19,0.0024
1018,41,20,0.003
1018,40,43,0.0289
1018,43,21,0.0013
1018,43,22,0.0015
1020,26,27,0.0304
1020,27,28,0.139
1020,28,29,0.0321
1020,29,30,0.0236
1020,30,1,0.0014
1020,30,2,0.0139
1020,29,31,0.0028
1020,31,32,0.0306
1020,32,3,1e-04
1020,32,4,5e-04
1020,31,33,0.0048
1020,33,34,0.0287
1020,34,5,2e-04
1020,34,6,1e-04
1020,33,7,0.0011
1020,28,8,1
1020,27,35,0.1018
1020,35,9,0.0129
1020,35,10,0.0242
1020,26,36,0.0305
1020,36,37,0.1303
1020,37,11,0.0036
1020,37,38,0.0323
1020,38,39,0.0147
1020,39,40,0.0135
1020,40,12,1
1020,40,13,7e-04
1020,39,14,0.005
1020,38,41,0.0018
1020,41,15,0.002
1020,41,42,0.0323
1020,42,16,3e-04
1020,42,17,4e-04
1020,36,43,0.0015
1020,43,18,0.0233
1020,43,44,0.0519
1020,44,45,0.0098
1020,45,46,0.045
1020,46,19,0.0042
1020,46,20,0.0028
1020,45,47,0.05
1020,47,21,0.001
1020,47,22,0.0013
1020,44,48,0.0401
1020,48,49,0.0367
1020,49,23,0.0012
1020,49,24,0.0013
1020,48,25,0.0021
1022,29,30,0.9689
1022,30,31,0.7873
1022,31,1,0.2245
1022,31,32,0.3083
1022,32,33,0.1499
1022,33,2,0.0608
1022,33,34,0.136
1022,34,3,0.0263
1022,34,4,0.0299
1022,32,35,0.0262
1022,35,36,0.2982
1022,36,5,0.0195
1022,36,6,0.016
1022,35,37,0.0547
1022,37,38,0.2754
1022,38,7,0.0148
1022,38,8,0.0163
1022,37,9,0.8707
1022,30,39,0.6831
1022,39,40,0.1251
1022,40,41,0.3839
1022,41,10,1
1022,41,11,0.1839
1022,40,12,0.3106
1022,39,42,0.3641
1022,42,43,0.3539
1022,43,13,0.081
1022,43,14,0.079
1022,42,44,0.3505
1022,44,15,1
1022,44,16,0.105
1022,29,45,0.9695
1022,45,46,0.786
1022,46,17,0.2537
1022,46,47,0.3113
1022,47,48,0.0279
1022,48,49,0.0509
1022,49,50,0.2797
1022,50,18,0.0131
1022,50,19,0.0147
1022,49,20,0.081
1022,48,51,0.2963
1022,51,21,0.1441
1022,51,22,0.0724
1022,47,52,0.1542
1022,52,53,0.1402
1022,53,23,1
1022,53,24,0.0443
1022,52,25,1
1022,45,54,0.7213
1022,54,55,0.4352
1022,55,26,0.2586
1022,55,27,1
1022,54,28,0.9745
1023,20,21,0.0209
1023,21,22,0.1084
1023,22,23,0.0256
1023,23,24,0.0018
1023,24,25,0.0037
1023,25,1,9e-04
1023,25,26,0.0223
1023,26,27,0.005
1023,27,2,1
1023,27,3,3e-04
1023,26,4,0.0025
1023,24,28,0.0218
1023,28,5,8e-04
1023,28,6,0.015
1023,23,29,0.0136
1023,29,30,0.0094
1023,30,7,5e-04
1023,30,8,4e-04
1023,29,9,2e-04
1023,22,10,0.0022
1023,21,31,0.0764
1023,31,32,0.0083
1023,32,33,0.0326
1023,33,34,0.023
1023,34,11,4e-04
1023,34,12,0.001
1023,33,13,0.0013
1023,32,14,0.0029
1023,31,15,0.0024
1023,20,35,0.3381
1023,35,36,0.0072
1023,36,16,0.0034
1023,36,17,0.0022
1023,35,37,0.031
1023,37,18,0.0029
1023,37,19,0.0025
1024,21,1,1
1024,21,22,1
1024,22,23,0.9793
1024,23,24,0.7667
1024,24,25,0.7603
1024,25,2,0.9803
1024,25,3,0.9224
1024,24,26,0.7675
1024,26,4,0.9795
1024,26,5,0.9582
1024,23,27,0.3553
1024,27,28,0.8046
1024,28,6,0.6965
1024,28,7,0.7034
1024,27,29,0.8529
1024,29,8,0.9987
1024,29,9,0.748
1024,22,30,0.883
1024,30,10,1
1024,30,31,0.9391
1024,31,11,1
1024,31,32,0.7139
1024,32,33,0.0782
1024,33,34,0.6964
1024,34,12,1
1024,34,13,0.9963
1024,33,35,0.165
1024,35,36,0.6598
1024,36,14,0.0477
1024,36,15,0.1064
1024,35,37,0.3621
1024,37,16,1
1024,37,17,0.9964
1024,32,38,0.4302
1024,38,18,0.1965
1024,38,39,0.3941
1024,39,19,1
1024,39,20,0.362
1025,24,25,1
1025,25,26,0.9999
1025,26,1,0.9991
1025,26,27,0.8844
1025,27,28,0.6252
1025,28,29,0.5904
1025,29,2,0.9957
1025,29,3,1
1025,28,4,0.9981
1025,27,30,0.1359
1025,30,31,0.8753
1025,31,5,0.3045
1025,31,6,0.9819
1025,30,32,0.2782
1025,32,7,1
1025,32,33,0.846
1025,33,8,0.2774
1025,33,9,1
1025,25,34,0.9995
1025,34,10,0.9999
1025,34,11,0.9999
1025,24,35,1
1025,35,36,0.9773
1025,36,37,0.9916
1025,37,38,0.9336
1025,38,12,1
1025,38,13,0.8318
1025,37,39,0.888
1025,39,40,0.6347
1025,40,41,0.5835
1025,41,14,0.5498
1025,41,15,0.5736
1025,40,16,0.8271
1025,39,42,0.1368
1025,42,43,0.2781
1025,43,44,0.852
1025,44,17,0.4857
1025,44,18,0.7572
1025,43,19,1
