Gene stable ID	Transcript stable ID
ENSAMXG00000000197	ENSAMXT00000000209
ENSAMXG00000000198	ENSAMXT00000000204
ENSAMXG00000000199	ENSAMXT00000000205
ENSAMXG00000000200	ENSAMXT00000000206
ENSAMXG00000000201	ENSAMXT00000000207
ENSAMXG00000000202	ENSAMXT00000000208
ENSAMXG00000000203	ENSAMXT00000000211
ENSAMXG00000000204	ENSAMXT00000000210
ENSAMXG00000000205	ENSAMXT00000000212
ENSAMXG00000000206	ENSAMXT00000000213
ENSAMXG00000000207	ENSAMXT00000000226
ENSAMXG00000000208	ENSAMXT00000000214
ENSAMXG00000000208	ENSAMXT00000000215
ENSAMXG00000000209	ENSAMXT00000000216
ENSAMXG00000000210	ENSAMXT00000000217
ENSAMXG00000000211	ENSAMXT00000000218
ENSAMXG00000000212	ENSAMXT00000000219
ENSAMXG00000000213	ENSAMXT00000000220
ENSAMXG00000000214	ENSAMXT00000000221
ENSAMXG00000000215	ENSAMXT00000000231
ENSAMXG00000000216	ENSAMXT00000000222
ENSAMXG00000000217	ENSAMXT00000000223
ENSAMXG00000000218	ENSAMXT00000000224
ENSAMXG00000000219	ENSAMXT00000000225
ENSAMXG00000000220	ENSAMXT00000000227
ENSAMXG00000000221	ENSAMXT00000000235
ENSAMXG00000000222	ENSAMXT00000000228
ENSAMXG00000000223	ENSAMXT00000000229
ENSAMXG00000000224	ENSAMXT00000000230
ENSAMXG00000000225	ENSAMXT00000000232
ENSAMXG00000000226	ENSAMXT00000000234
ENSAMXG00000000227	ENSAMXT00000000233
ENSAMXG00000000228	ENSAMXT00000000238
ENSAMXG00000000229	ENSAMXT00000000236
ENSAMXG00000000230	ENSAMXT00000000239
ENSAMXG00000000231	ENSAMXT00000000237
ENSAMXG00000000232	ENSAMXT00000000240
ENSAMXG00000000233	ENSAMXT00000000241
ENSAMXG00000000234	ENSAMXT00000000244
ENSAMXG00000000234	ENSAMXT00000000245
ENSAMXG00000000235	ENSAMXT00000000243
ENSAMXG00000000236	ENSAMXT00000000242
ENSAMXG00000000237	ENSAMXT00000000246
ENSAMXG00000000238	ENSAMXT00000000247
ENSAMXG00000000239	ENSAMXT00000000248
ENSAMXG00000000240	ENSAMXT00000000249
ENSAMXG00000000241	ENSAMXT00000000250
ENSAMXG00000000242	ENSAMXT00000000251
ENSAMXG00000000243	ENSAMXT00000000252
ENSAMXG00000000244	ENSAMXT00000000253
ENSAMXG00000000245	ENSAMXT00000000254
ENSAMXG00000000246	ENSAMXT00000000255
ENSAMXG00000000247	ENSAMXT00000000256
ENSAMXG00000000248	ENSAMXT00000000257
ENSAMXG00000000249	ENSAMXT00000000258
ENSAMXG00000000250	ENSAMXT00000000259
ENSAMXG00000000251	ENSAMXT00000000260
ENSAMXG00000000252	ENSAMXT00000000261
ENSAMXG00000000253	ENSAMXT00000000262
ENSAMXG00000000254	ENSAMXT00000000263
ENSAMXG00000000255	ENSAMXT00000000264
ENSAMXG00000000256	ENSAMXT00000000265
ENSAMXG00000000257	ENSAMXT00000000270
ENSAMXG00000000258	ENSAMXT00000000268
ENSAMXG00000000259	ENSAMXT00000000266
ENSAMXG00000000260	ENSAMXT00000000267
ENSAMXG00000000261	ENSAMXT00000000269
ENSAMXG00000000262	ENSAMXT00000000271
ENSAMXG00000000263	ENSAMXT00000000275
ENSAMXG00000000264	ENSAMXT00000000272
ENSAMXG00000000265	ENSAMXT00000000273
ENSAMXG00000000266	ENSAMXT00000000274
ENSAMXG00000000267	ENSAMXT00000000281
ENSAMXG00000000268	ENSAMXT00000000276
ENSAMXG00000000269	ENSAMXT00000000277
ENSAMXG00000000270	ENSAMXT00000000278
ENSAMXG00000000271	ENSAMXT00000000279
ENSAMXG00000000272	ENSAMXT00000000280
ENSAMXG00000000273	ENSAMXT00000000286
ENSAMXG00000000274	ENSAMXT00000000282
ENSAMXG00000000275	ENSAMXT00000000284
ENSAMXG00000000276	ENSAMXT00000000283
ENSAMXG00000000277	ENSAMXT00000000287
ENSAMXG00000000278	ENSAMXT00000000285
ENSAMXG00000000279	ENSAMXT00000000292
ENSAMXG00000000280	ENSAMXT00000000288
ENSAMXG00000000281	ENSAMXT00000000293
ENSAMXG00000000282	ENSAMXT00000000289
ENSAMXG00000000283	ENSAMXT00000000309
ENSAMXG00000000284	ENSAMXT00000000291
ENSAMXG00000000285	ENSAMXT00000000290
ENSAMXG00000000286	ENSAMXT00000000295
ENSAMXG00000000287	ENSAMXT00000000294
ENSAMXG00000000288	ENSAMXT00000000298
ENSAMXG00000000289	ENSAMXT00000000307
ENSAMXG00000000290	ENSAMXT00000000300
ENSAMXG00000000291	ENSAMXT00000000297
ENSAMXG00000000292	ENSAMXT00000000296
ENSAMXG00000000293	ENSAMXT00000000299
ENSAMXG00000000294	ENSAMXT00000000301
ENSAMXG00000000295	ENSAMXT00000000303
ENSAMXG00000000296	ENSAMXT00000000302
ENSAMXG00000000297	ENSAMXT00000000304
ENSAMXG00000000298	ENSAMXT00000000305
ENSAMXG00000000299	ENSAMXT00000000306
ENSAMXG00000000300	ENSAMXT00000000312
ENSAMXG00000000301	ENSAMXT00000000308
ENSAMXG00000000302	ENSAMXT00000000310
ENSAMXG00000000303	ENSAMXT00000000311
ENSAMXG00000000304	ENSAMXT00000000313
ENSAMXG00000000305	ENSAMXT00000000314
ENSAMXG00000000306	ENSAMXT00000000315
ENSAMXG00000000307	ENSAMXT00000000317
ENSAMXG00000000308	ENSAMXT00000000316
ENSAMXG00000000309	ENSAMXT00000000318
ENSAMXG00000000310	ENSAMXT00000000319
ENSAMXG00000000311	ENSAMXT00000000321
ENSAMXG00000000312	ENSAMXT00000000320
ENSAMXG00000000313	ENSAMXT00000000325
ENSAMXG00000000314	ENSAMXT00000000323
ENSAMXG00000000315	ENSAMXT00000000322
ENSAMXG00000000316	ENSAMXT00000000324
ENSAMXG00000000317	ENSAMXT00000000331
ENSAMXG00000000318	ENSAMXT00000000326
ENSAMXG00000000319	ENSAMXT00000000327
ENSAMXG00000000320	ENSAMXT00000000328
ENSAMXG00000000321	ENSAMXT00000000329
ENSAMXG00000000322	ENSAMXT00000000330
ENSAMXG00000000323	ENSAMXT00000000332
ENSAMXG00000000324	ENSAMXT00000000333
ENSAMXG00000000325	ENSAMXT00000000334
ENSAMXG00000000326	ENSAMXT00000000335
ENSAMXG00000000327	ENSAMXT00000000336
ENSAMXG00000000328	ENSAMXT00000000337
ENSAMXG00000000329	ENSAMXT00000000338
ENSAMXG00000000330	ENSAMXT00000000345
ENSAMXG00000000331	ENSAMXT00000000339
ENSAMXG00000000332	ENSAMXT00000000377
ENSAMXG00000000333	ENSAMXT00000000340
ENSAMXG00000000334	ENSAMXT00000000341
ENSAMXG00000000335	ENSAMXT00000000343
ENSAMXG00000000336	ENSAMXT00000000342
ENSAMXG00000000337	ENSAMXT00000000344
ENSAMXG00000000338	ENSAMXT00000000362
ENSAMXG00000000339	ENSAMXT00000000346
ENSAMXG00000000340	ENSAMXT00000000348
ENSAMXG00000000341	ENSAMXT00000000347
ENSAMXG00000000342	ENSAMXT00000000353
ENSAMXG00000000343	ENSAMXT00000000349
ENSAMXG00000000344	ENSAMXT00000000350
ENSAMXG00000000345	ENSAMXT00000000351
ENSAMXG00000000346	ENSAMXT00000000352
ENSAMXG00000000347	ENSAMXT00000000354
ENSAMXG00000000348	ENSAMXT00000000355
ENSAMXG00000000349	ENSAMXT00000000356
ENSAMXG00000000350	ENSAMXT00000000373
ENSAMXG00000000351	ENSAMXT00000000368
ENSAMXG00000000352	ENSAMXT00000000357
ENSAMXG00000000353	ENSAMXT00000000358
ENSAMXG00000000354	ENSAMXT00000000361
ENSAMXG00000000355	ENSAMXT00000000365
ENSAMXG00000000356	ENSAMXT00000000359
ENSAMXG00000000357	ENSAMXT00000000370
ENSAMXG00000000358	ENSAMXT00000000371
ENSAMXG00000000359	ENSAMXT00000000360
ENSAMXG00000000360	ENSAMXT00000000366
ENSAMXG00000000361	ENSAMXT00000000363
ENSAMXG00000000362	ENSAMXT00000000364
ENSAMXG00000000363	ENSAMXT00000000367
ENSAMXG00000000364	ENSAMXT00000000372
ENSAMXG00000000365	ENSAMXT00000000369
ENSAMXG00000000366	ENSAMXT00000000375
ENSAMXG00000000367	ENSAMXT00000000374
ENSAMXG00000000368	ENSAMXT00000000378
ENSAMXG00000000369	ENSAMXT00000000376
ENSAMXG00000000370	ENSAMXT00000000384
ENSAMXG00000000371	ENSAMXT00000000379
ENSAMXG00000000372	ENSAMXT00000000380
ENSAMXG00000000373	ENSAMXT00000000381
ENSAMXG00000000374	ENSAMXT00000000382
ENSAMXG00000000375	ENSAMXT00000000383
ENSAMXG00000000376	ENSAMXT00000000386
ENSAMXG00000000377	ENSAMXT00000000391
ENSAMXG00000000378	ENSAMXT00000000398
ENSAMXG00000000379	ENSAMXT00000000419
ENSAMXG00000000380	ENSAMXT00000000385
ENSAMXG00000000381	ENSAMXT00000000425
ENSAMXG00000000382	ENSAMXT00000000387
ENSAMXG00000000383	ENSAMXT00000000388
ENSAMXG00000000384	ENSAMXT00000000390
ENSAMXG00000000385	ENSAMXT00000000389
ENSAMXG00000000386	ENSAMXT00000000418
ENSAMXG00000000387	ENSAMXT00000000396
ENSAMXG00000000388	ENSAMXT00000000416
ENSAMXG00000000389	ENSAMXT00000000392
ENSAMXG00000000390	ENSAMXT00000000406
ENSAMXG00000000391	ENSAMXT00000000482
ENSAMXG00000000392	ENSAMXT00000000393
ENSAMXG00000000393	ENSAMXT00000000410
ENSAMXG00000000394	ENSAMXT00000000394
ENSAMXG00000000395	ENSAMXT00000000395
ENSAMXG00000000396	ENSAMXT00000000400
ENSAMXG00000000397	ENSAMXT00000000397
ENSAMXG00000000398	ENSAMXT00000000412
ENSAMXG00000000399	ENSAMXT00000000399
ENSAMXG00000000400	ENSAMXT00000000403
ENSAMXG00000000401	ENSAMXT00000000401
ENSAMXG00000000402	ENSAMXT00000000402
ENSAMXG00000000403	ENSAMXT00000000422
ENSAMXG00000000404	ENSAMXT00000000404
