Gene stable ID	Transcript stable ID
ENSORLG00000000220	ENSORLT00000000273
ENSORLG00000000220	ENSORLT00000000274
ENSORLG00000000220	ENSORLT00000000275
ENSORLG00000000221	ENSORLT00000000271
ENSORLG00000000222	ENSORLT00000000270
ENSORLG00000000223	ENSORLT00000000279
ENSORLG00000000224	ENSORLT00000000277
ENSORLG00000000225	ENSORLT00000000278
ENSORLG00000000225	ENSORLT00000000280
ENSORLG00000000227	ENSORLT00000000282
ENSORLG00000000228	ENSORLT00000000283
ENSORLG00000000229	ENSORLT00000000284
ENSORLG00000000230	ENSORLT00000000285
ENSORLG00000000232	ENSORLT00000000288
ENSORLG00000000233	ENSORLT00000000287
ENSORLG00000000235	ENSORLT00000000290
ENSORLG00000000237	ENSORLT00000000291
ENSORLG00000000238	ENSORLT00000000292
ENSORLG00000000239	ENSORLT00000000293
ENSORLG00000000239	ENSORLT00000000294
ENSORLG00000000240	ENSORLT00000000296
ENSORLG00000000240	ENSORLT00000000300
ENSORLG00000000242	ENSORLT00000000297
ENSORLG00000000242	ENSORLT00000000299
ENSORLG00000000243	ENSORLT00000000298
ENSORLG00000000244	ENSORLT00000000313
ENSORLG00000000245	ENSORLT00000000302
ENSORLG00000000245	ENSORLT00000000303
ENSORLG00000000246	ENSORLT00000000306
ENSORLG00000000247	ENSORLT00000000304
ENSORLG00000000248	ENSORLT00000000305
ENSORLG00000000249	ENSORLT00000000310
ENSORLG00000000251	ENSORLT00000000308
ENSORLG00000000252	ENSORLT00000000309
ENSORLG00000000253	ENSORLT00000000311
ENSORLG00000000253	ENSORLT00000000314
ENSORLG00000000254	ENSORLT00000000312
ENSORLG00000000255	ENSORLT00000000315
ENSORLG00000000256	ENSORLT00000000316
ENSORLG00000000257	ENSORLT00000000317
ENSORLG00000000258	ENSORLT00000000318
ENSORLG00000000259	ENSORLT00000000321
ENSORLG00000000260	ENSORLT00000000319
ENSORLG00000000262	ENSORLT00000000322
ENSORLG00000000263	ENSORLT00000000323
ENSORLG00000000264	ENSORLT00000000324
ENSORLG00000000265	ENSORLT00000000325
ENSORLG00000000266	ENSORLT00000000326
ENSORLG00000000267	ENSORLT00000000328
ENSORLG00000000268	ENSORLT00000000327
ENSORLG00000000268	ENSORLT00000000329
ENSORLG00000000269	ENSORLT00000000330
ENSORLG00000000270	ENSORLT00000000331
ENSORLG00000000271	ENSORLT00000000332
ENSORLG00000000272	ENSORLT00000000333
ENSORLG00000000273	ENSORLT00000000335
ENSORLG00000000274	ENSORLT00000000334
ENSORLG00000000275	ENSORLT00000000336
ENSORLG00000000275	ENSORLT00000000338
ENSORLG00000000276	ENSORLT00000000337
ENSORLG00000000276	ENSORLT00000000339
ENSORLG00000000277	ENSORLT00000000340
ENSORLG00000000279	ENSORLT00000000345
ENSORLG00000000279	ENSORLT00000000348
ENSORLG00000000280	ENSORLT00000000342
ENSORLG00000000281	ENSORLT00000000346
ENSORLG00000000282	ENSORLT00000000344
ENSORLG00000000283	ENSORLT00000000347
ENSORLG00000000283	ENSORLT00000000349
ENSORLG00000000284	ENSORLT00000000343
ENSORLG00000000285	ENSORLT00000000350
ENSORLG00000000286	ENSORLT00000000351
ENSORLG00000000287	ENSORLT00000000354
ENSORLG00000000288	ENSORLT00000000355
ENSORLG00000000288	ENSORLT00000000357
ENSORLG00000000289	ENSORLT00000000352
ENSORLG00000000290	ENSORLT00000000353
ENSORLG00000000292	ENSORLT00000000358
ENSORLG00000000293	ENSORLT00000000360
ENSORLG00000000294	ENSORLT00000000359
ENSORLG00000000294	ENSORLT00000000361
