Gene stable ID	Transcript stable ID
ENSELUG00000000135	ENSELUT00000014023
ENSELUG00000000135	ENSELUT00000014042
ENSELUG00000000135	ENSELUT00000014070
ENSELUG00000000136	ENSELUT00000013864
ENSELUG00000000137	ENSELUT00000013549
ENSELUG00000000138	ENSELUT00000013376
ENSELUG00000000139	ENSELUT00000013369
ENSELUG00000000140	ENSELUT00000013348
ENSELUG00000000141	ENSELUT00000013346
ENSELUG00000000141	ENSELUT00000013361
ENSELUG00000000141	ENSELUT00000013372
ENSELUG00000000142	ENSELUT00000013343
ENSELUG00000000143	ENSELUT00000013129
ENSELUG00000000143	ENSELUT00000013224
ENSELUG00000000143	ENSELUT00000013269
ENSELUG00000000144	ENSELUT00000013020
ENSELUG00000000144	ENSELUT00000013035
ENSELUG00000000145	ENSELUT00000013005
ENSELUG00000000146	ENSELUT00000013004
ENSELUG00000000147	ENSELUT00000012968
ENSELUG00000000148	ENSELUT00000012553
ENSELUG00000000148	ENSELUT00000012615
ENSELUG00000000148	ENSELUT00000012666
ENSELUG00000000148	ENSELUT00000012741
ENSELUG00000000149	ENSELUT00000012575
ENSELUG00000000149	ENSELUT00000012590
ENSELUG00000000150	ENSELUT00000012407
ENSELUG00000000150	ENSELUT00000012508
ENSELUG00000000150	ENSELUT00000012558
ENSELUG00000000150	ENSELUT00000012642
ENSELUG00000000151	ENSELUT00000012366
ENSELUG00000000152	ENSELUT00000012382
ENSELUG00000000153	ENSELUT00000012344
ENSELUG00000000154	ENSELUT00000012325
ENSELUG00000000155	ENSELUT00000012274
ENSELUG00000000156	ENSELUT00000012328
ENSELUG00000000156	ENSELUT00000012336
ENSELUG00000000157	ENSELUT00000012249
ENSELUG00000000158	ENSELUT00000012245
ENSELUG00000000159	ENSELUT00000012207
ENSELUG00000000160	ENSELUT00000012204
ENSELUG00000000160	ENSELUT00000012235
ENSELUG00000000161	ENSELUT00000012181
ENSELUG00000000161	ENSELUT00000012193
ENSELUG00000000162	ENSELUT00000012219
ENSELUG00000000163	ENSELUT00000012145
ENSELUG00000000164	ENSELUT00000012151
ENSELUG00000000164	ENSELUT00000012176
ENSELUG00000000165	ENSELUT00000012170
ENSELUG00000000166	ENSELUT00000012171
ENSELUG00000000167	ENSELUT00000012120
ENSELUG00000000168	ENSELUT00000012132
ENSELUG00000000168	ENSELUT00000012146
ENSELUG00000000168	ENSELUT00000012162
ENSELUG00000000169	ENSELUT00000012121
ENSELUG00000000170	ENSELUT00000012103
ENSELUG00000000170	ENSELUT00000012127
ENSELUG00000000171	ENSELUT00000012074
ENSELUG00000000172	ENSELUT00000012088
ENSELUG00000000172	ENSELUT00000012139
ENSELUG00000000172	ENSELUT00000012189
ENSELUG00000000173	ENSELUT00000012048
ENSELUG00000000174	ENSELUT00000012066
