Ens.ID	TPM.bones	TPM.brain	TPM.embryo	TPM.gill	TPM.kidney	TPM.heart	TPM.intestine	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSORLG00000004687	6.21254	3.6973	7.18677	10.4086	6.00384	19.1221	11.8483	1.8439	6.3275	1.07904	3.06085
ENSORLG00000004688	3.30599	20.7878	9.93538	11.9107	4.07633	3.94804	3.16456	1.02345	0.738338	1.0688	9.01738
ENSORLG00000004689	209.112	116.647	191.618	83.8349	105.65	158.169	102.956	76.2954	235.684	56.9393	98.0638
ENSORLG00000004690	4.383674	3.81407	1.864862	17.39605	2.92834	4.71389	42.3658	3.80463	0.324026	0.646383	4.233746
ENSORLG00000004691	15.1032	12.5958	22.6816	31.4816	21.17743	22.2958	12.995	6.35267	5.53338	0.656191	39.3838
ENSORLG00000004692	4.72071	7.11889	13.154	7.70253	6.62566	4.86592	6.02647	1.0902	2.05428	28.8922	8.19788
ENSORLG00000004693	0.274548	0.0819451	3.27432	1.38695	0.045588	102.415	0	0	0.0770876	0.0955722	1.03529
ENSORLG00000004694	16.8287	0.117343	2.60008	2.57667	0.635974	0.912318	3.57105	0.139206	45.3848	0.0672058	4.69784
ENSORLG00000004695	35.6548	17.92693	77.4169	200.9122	29.8653	47.0006	28.6808	119.544	9.54872	7.09068	781.737
ENSORLG00000004696	1.72186	0.993326	1.28609	1.21703	13.2803	3.05384	0.116958	0.375368	0.0847897	0.133709	23.1935
ENSORLG00000004697	9.98772	5.00919	10.3423	20.7782	11.16	23.6774	5.9327	6.56554	4.47275	6.12037	132.642
ENSORLG00000004698	22.7302	55.4109	43.2048	34.3341	24.5111	20.5007	25.5622	12.3194	9.71451	10.0368	57.6593
ENSORLG00000004699	5.32733	9.50096	10.5132	10.9061	7.02931	10.596	5.71451	6.10301	3.5708	9.95037	18.0013
ENSORLG00000004700	8.35319	22.137	23.9796	16.3554	10.2254	10.0091	12.3556	3.9011	2.10481	8.59563	59.3835
ENSORLG00000004701	10.5954	26.1229	29.5141	15.5973	25.3892	47.6604	24.828	12.2133	1.7088	9.36424	16.6911
ENSORLG00000004702	0.89774	0.858462	1.87847	0.908832	0.686228	0.798546	0.37065	302.864	0.277202	0.513466	1.53734
ENSORLG00000004703	62.9475	530.119	4.72908	1.1543	1.07436	0.58127	1.20437	0.255873	0.505101	0	0.377841
ENSORLG00000004704	13.1068	91.0621	35.2178	15.6906	13.3049	18.7185	7.86439	3.51655	6.03692	0.80003	30.0805
ENSORLG00000004705	0.204561	1.22401	0.165847	0.0589482	0.0283483	0.0517146	0	0.0151216	0.0358793	0.170862	2.69717
ENSORLG00000004706	40.5031	66.3304	95.3295	33.7107	25.0534	44.1478	69.9686	36.3457	11.4673	21.2658	38.5699
ENSORLG00000004707	66.9465	32.9996	50.4842	32.4696	980.386	256.003	3.0419	25.1761	4.86588	0.256271	2.31639
ENSORLG00000004708	1.21654	1.05049	33.4332	2.12983	5.10138	3.42801	2.39237	0.398395	0.224751	18.8639	20.0164
ENSORLG00000004709	0.0376513	0	0.0916116	0	0.031281	0.0380566	0	0	0.0792694	0.018579	0.0786521
ENSORLG00000004711	2.44512	45.8484	1.48662	1.35538	0.667412	1.22198	0	0	0	3.51915	4.44748
ENSORLG00000004712	1.75658	1.543982	60.71318	0.782188	0.2880551	1.01633	2.236103	0.6307556	1.4846755	27.031	1.46234
ENSORLG00000004713	2.22598	7.88465	2.55936	4.84367	2.40739	6.59678	2.99083	0.487172	0.663318	1.62735	9.44803
ENSORLG00000004714	2.06958	37.8615	1.00773	0.284309	1.57903	3.51077	0	0	0.290659	1.54263	4.79133
ENSORLG00000004715	21.04613	18.147355	54.657278	23.74772	37.424234	47.192063	2.360462	15.428419	3.978718	0.5475026	11.375305
ENSORLG00000004716	12.04195	61.66864	28.60079	11.389878	10.0085	61.00394	1.51751	1.10182	3.24728	8.04833	5.27956
ENSORLG00000004717	6.11505	34.408	22.1941	16.037	7.35819	24.1972	3.45858	2.53494	2.96322	0.386623	3.57489
ENSORLG00000004718	9.79475	35.0011	19.5771	15.5812	14.0038	9.43895	12.1652	3.29596	2.41447	1.25989	33.5831
ENSORLG00000004719	8.95203	37.6575	13.7241	8.72443	5.36908	6.93807	6.99074	2.60215	2.84549	10.6492	9.10238
ENSORLG00000004720	8.4824	22.5232	37.0663	21.9182	17.2013	11.1305	15.9733	3.39987	2.88004	7.30364	25.2456
ENSORLG00000004721	2.60563	37.3947	3.43901	0.355333	0.366816	0.178529	0.740441	0.039222	0	0.0546403	1.06208
ENSORLG00000004722	1.73738	9.53751	8.47897	3.69917	3.54683	1.42315	1.64687	0.35123	0.216027	1.21773	24.0108
ENSORLG00000004723	4.63775	0.872967	35.3629	1.1342	1.00124	0	0.0471145	0.0324211	1.4095	0.0450263	1.10591
ENSORLG00000004724	0.45439	1.81167	0.276338	0.0290731	0.0839325	0.765681	0.0325873	0	0.0354255	0.0743261	2.28921
ENSORLG00000004725	6.52169	22.0652	14.6799	4.72783	3.52486	12.7447	0.993949	0.257319	1.83187	0.147733	13.8167
ENSORLG00000004726	85.7197	321.604	103.431	122.157	123.799	86.9366	281.84	39.547	31.0489	6.71868	227.874
ENSORLG00000004727	7.44888	4.87563	3.12975	0.706556	13.5571	17.0371	1.13927	4.36374	0.727547	0.578065	2.60709
ENSORLG00000004728	8.91609	144.917	0.394662	0.284147	2.00428	2.31435	0.312997	0	0.0569164	0.030889	1.75316
ENSORLG00000004729	3.62096	6.87369	8.66232	7.77195	2.15032	4.78797	39.8448	35.9016	1.38193	1.96745	18.8962
