Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.lung	TPM.muscle	TPM.testis
ENSMPUG00000000143	0	0.15	930.76	1523.26	0.54	0.38	0.37
ENSMPUG00000000144	0.34	0.95	1.95	0.23	114.44	0.26	3.07
ENSMPUG00000000145	0.58	0.04	0	0	1.51	0	0.1
ENSMPUG00000000146	5.75	2.95	1.4	0.35	8.66	1.02	17.87
ENSMPUG00000000147	5.77	9.76	2.98	1.6	11.75	4.16	2.01
ENSMPUG00000000148	41.44	10.95	21.01	21.46	37.76	26.62	10.76
ENSMPUG00000000149	0	0.23	0	0	0	0	24.33
ENSMPUG00000000150	537.18	208.17	105.31	501.44	97.46	809.91	70.07
ENSMPUG00000000151	0.06	0.06	0	0	0.05	0	59.68
ENSMPUG00000000152	50.46	19.52	19.74	8.97	21.48	19.24	58.35
ENSMPUG00000000153	0	0	0.13	0.1	0	0.22	473.24
ENSMPUG00000000154	17.47	18.86	9.02	1.97	32.82	10.79	1.29
ENSMPUG00000000155	34.95	41.06	18.82	17.69	35.93	50	15.88
ENSMPUG00000000156	49.7	65.5	49.26	16.45	51.41	27.51	32.59
ENSMPUG00000000157	0.4	0	0	0	0	0	0.31
ENSMPUG00000000158	2.74	1.19	3.76	1.23	2.57	0.62	133.47
ENSMPUG00000000159	0.69	0.43	0.2	0.31	0.38	0	11.51
ENSMPUG00000000160	0.36	0.17	0.05	0	0.5	0.09	0.27
ENSMPUG00000000161	0	0	0	0	0	0	0
ENSMPUG00000000162	0	0	0	0	0	0	0
ENSMPUG00000000163	100.97	138.69	104.45	185.26	171.78	196.87	452.44
ENSMPUG00000000164	245.84	157.7	240.65	175.93	266.43	101.39	159.89
ENSMPUG00000000165	0	0.16	0	0.08	0.05	0	421.61
ENSMPUG00000000166	103.84	142.28	79.02	70.48	245.71	47.74	279.56
ENSMPUG00000000167	42.31	91	3.66	4.96	9.01	49.37	0.61
ENSMPUG00000000168	0	0	0	0	0	0	0
ENSMPUG00000000169	6.9	15.66	5.18	4.7	15.1	26.61	7.37
ENSMPUG00000000170	14.98	132.45	6.52	11.58	7.1	20.62	0.9
ENSMPUG00000000171	0.78	1.47	0.23	0	0.43	0.41	0
ENSMPUG00000000172	1295.55	3465.7	1487.71	47.5	118.85	370.87	234.42
ENSMPUG00000000173	66.78	26.41	27.4	17.83	53.62	10.33	45.75
ENSMPUG00000000174	45.18	27.09	18.13	13.94	41.69	18.93	55.12
ENSMPUG00000000175	17.04	7.94	4.38	3.25	12.46	7.84	30.03
ENSMPUG00000000176	197.92	109.29	139.96	87.19	111.1	110.81	121.02
ENSMPUG00000000177	79.94	31.96	20.6	13.86	53.35	11.02	35.57
ENSMPUG00000000178	0.79	0	2.09	2.35	2.6	0.31	0
ENSMPUG00000000179	17.64	11.2	42.9	38.43	16.89	2.83	1.7
ENSMPUG00000000180	0	0	0	0	0	0	0
ENSMPUG00000000181	68.63	48.89	43.06	28.55	59.89	43.21	251.68
ENSMPUG00000000182	19.99	34.4	18.16	4.58	11.19	22.27	126.86
ENSMPUG00000000183	0	0	0	0	0	0	0
ENSMPUG00000000184	32.81	26.99	25.08	12.27	27.41	15.63	6.4
ENSMPUG00000000185	0	0	0	0	0	0	0
ENSMPUG00000000186	0	0	0	0	0	0	0
ENSMPUG00000000187	67.63	31.04	33.65	20.31	38.14	21.44	36.69
ENSMPUG00000000188	0	0	0	0	0.1	0	0
ENSMPUG00000000189	17.98	18.19	22.25	14.14	19.56	11.26	28.53
ENSMPUG00000000190	23.06	16.82	18.5	9.76	27.36	9.43	9.2
ENSMPUG00000000191	46.28	48	47.77	21.71	13.78	37.23	18.25
ENSMPUG00000000192	0	0	0	63.91	0	0	0.13
ENSMPUG00000000193	1.91	1.37	0.21	0.19	5.52	0.41	0.57
ENSMPUG00000000194	0.94	0.22	0	0	0	0	0
ENSMPUG00000000195	17.64	0.18	0	0	0	0	0.03
ENSMPUG00000000196	0	0.31	0.58	0	0.54	0.26	0.25
ENSMPUG00000000197	0	0.65	0.31	4.65	4.12	0.27	1.14
ENSMPUG00000000198	30.55	12.81	18.56	6.17	19.77	5.02	12
ENSMPUG00000000199	58.87	2.63	1.14	0.05	7.26	1.16	0.42
ENSMPUG00000000200	408.23	0.88	0	0	0.13	0.97	0.35
ENSMPUG00000000201	183.15	152.63	171.28	92.04	233.71	129.98	57.66
ENSMPUG00000000202	15.26	15.13	10.92	5.56	21.16	7.27	9.49
ENSMPUG00000000203	1.58	0	0.05	0.04	0	0.04	0
ENSMPUG00000000204	3655.97	4651.13	5667.98	2747.62	6202.96	6620.57	3504.99
ENSMPUG00000000205	1.12	0	88.14	0.15	2.04	0	29.15
ENSMPUG00000000206	23.64	9.43	11.03	6.78	6.7	9.58	4.86
ENSMPUG00000000207	0.25	0	0.99	0	0	0	0.75
ENSMPUG00000000208	19.79	12.88	8.42	8.73	19.64	8.29	60.65
ENSMPUG00000000209	26.04	18.56	26.39	11.59	28.94	6.38	16.12
ENSMPUG00000000210	0.35	0.07	0	0	53.62	0.59	0.37
ENSMPUG00000000211	15.89	20.91	22.94	17.02	20.44	20.62	7.11
ENSMPUG00000000212	41.22	6.95	2.85	9.76	10.06	4.3	13.48
ENSMPUG00000000213	47.66	10.52	7.98	3.73	9.88	7.1	82.32
ENSMPUG00000000214	3.47	2.77	2.97	1.81	3.52	2.36	190.79
ENSMPUG00000000215	10.94	17.52	12.23	20.61	74.39	6.01	12
ENSMPUG00000000216	0	0.51	0	0.72	1.35	0.84	73.84
ENSMPUG00000000217	25.8	6.75	8.47	0.26	19	0.79	1
ENSMPUG00000000218	216.76	118.41	152.62	85.51	122.86	57.09	34.26
ENSMPUG00000000219	8.72	5.99	4.03	1.58	7.32	3.38	111.89
ENSMPUG00000000220	210.57	26.58	4.75	1.29	33.68	6.48	0.95
ENSMPUG00000000221	1.45	4.32	0.54	6.34	3.19	2.69	0.64
ENSMPUG00000000222	116.18	63.39	31.15	13.79	41.65	47.05	68.84
ENSMPUG00000000223	19.39	23.55	7.98	9.12	14.16	14.62	15.7
ENSMPUG00000000224	8.81	162.18	6.96	8.6	30.03	0.23	0.24
ENSMPUG00000000225	6.39	1.4	0	0	0.19	0	0.35
ENSMPUG00000000226	0	0	0	0	0	0	0
ENSMPUG00000000227	12.69	10.68	2.41	7.5	16.09	4.11	11.86
ENSMPUG00000000228	11.97	9.66	4.53	1.57	27.65	2.2	0.84
ENSMPUG00000000229	176.53	8.33	52.12	21.87	5.7	11.98	32.46
ENSMPUG00000000230	20.37	43.4	22.34	52.28	117.65	30.62	5.4
ENSMPUG00000000231	1.4	5.54	1.72	14.69	20.96	3.97	0.8
ENSMPUG00000000232	27.61	5.8	0.29	0.56	2.85	12.52	15.38
ENSMPUG00000000233	0	0.12	0	0	0	0	19.67
ENSMPUG00000000234	44.32	5.03	1.05	1.36	10.78	2.09	5.42
ENSMPUG00000000235	0	0	0	0	0	0	0
ENSMPUG00000000236	25.53	8.7	47.25	1.66	94.62	5.69	3.77
ENSMPUG00000000237	18.83	0.59	0	0	0.41	0.2	0.19
ENSMPUG00000000238	32.6	38.62	23.74	40.31	61.94	13.66	16.72
ENSMPUG00000000239	109.74	79.94	95.14	55.58	112.08	51.33	96.67
ENSMPUG00000000240	2.19	9.74	3.77	13.1	30.35	2.94	6.18
ENSMPUG00000000241	1.98	2.24	44.8	1.43	2.09	1.7	1.38
ENSMPUG00000000242	3.13	1.47	0	0.13	4.37	0.76	1.63
ENSMPUG00000000243	1.11	0	0	0.16	4.38	0	123.79
ENSMPUG00000000244	7.79	2.41	1.14	2.56	2.75	0.8	0.97
ENSMPUG00000000245	57.44	152.84	11.31	8	42.69	78.7	11.36
ENSMPUG00000000246	3.75	21.67	19.52	16.25	120.15	7.38	2.5
ENSMPUG00000000247	1.08	5.7	0.59	0.83	1.1	1.43	0.88
ENSMPUG00000000248	72.8	0	2.23	0.1	1.22	0	0.56
ENSMPUG00000000249	13.95	15.46	35.85	17.13	13.78	66.17	22.37
ENSMPUG00000000250	0.33	0.03	0.1	0.07	0	0	173.78
ENSMPUG00000000251	1.29	14.47	17.39	18.47	18.2	39.42	1.73
ENSMPUG00000000252	33.29	8.32	16.92	5.58	22.48	4.39	25.99
ENSMPUG00000000253	17.9	77.35	49.03	22.94	28.62	55.31	9.61
ENSMPUG00000000254	25.4	89.08	7.33	7.69	105.6	18.94	10.93
ENSMPUG00000000255	2.63	0.18	0.59	0.19	1.87	0.15	10.83
ENSMPUG00000000256	0	0	0	0.79	0.28	308.24	0.13
ENSMPUG00000000257	15.2	14.44	18.48	4.44	18.17	3.02	11.15
