Ens.ID	TPM.testis	TPM.heart	TPM.brain	TPM.muscle	TPM.colon	TPM.lung	TPM.spleen	TPM.liver	TPM.kidney
ENSGALG00000002541	14.092655	15.550947	19.679677	16.691392	36.832603	26.669238	30.257961	17.910626	14.214843
ENSGALG00000002542	17.286529	2.316616	16.817102	2.864902	32.996291	23.080129	28.724618	56.497864	31.124659
ENSGALG00000002543	24.958236	0.963382	11.987752	5.182682	9.852741	19.240885	25.541158	3.523354	5.115111
ENSGALG00000002544	4.194307	3.72982	3.363067	0.958316	4.229336	17.056362	12.141377	4.693074	6.793849
ENSGALG00000002546	8.589552	2.526964	19.639778	5.315343	39.440526	14.296429	41.389878	8.955775	4.859688
ENSGALG00000002547	0.024597	0	0.046077	0	0	0.025183	0	0	0.014931
ENSGALG00000002548	25.668405	34.246861	24.886059	15.558391	162.874329	214.805693	325.969366	33.698907	53.990549
ENSGALG00000002549	0.626109	1.724462	0.106087	0	13.53665	53.585198	38.656832	3.739362	2.482148
ENSGALG00000002550	3.386647	0	0.224503	0	2.286739	0.06238	13.029043	4.503722	4.201105
ENSGALG00000002551	86.094039	5.128784	6.544019	2.434338	1.491744	3.486264	12.040908	1.724749	4.474777
ENSGALG00000002552	162.903998	18.508418	1.465531	29.424495	364.677655	99.066373	42.096657	53.008009	22.08402
ENSGALG00000002553	0.671874	5.967618	72.560426	0.225997	13.869436	20.750373	2.953569	28.002092	4.951961
ENSGALG00000002554	1.386312	0.39495	23.430536	2.544524	13.981561	7.233306	19.783106	1.611256	4.056132
ENSGALG00000002555	9.407402	0.045795	12.172561	0.650535	2.810196	0.833806	0.199213	0.133457	0.341836
ENSGALG00000002556	0.683033	1.126717	0.937072	0.318717	1.511554	1.149526	6.483133	1.588593	1.358964
ENSGALG00000002557	2.387658	0.076211	0.822809	3.162333	3.420038	5.627364	0.107481	0.005906	0.447769
ENSGALG00000002558	7.61496	0.231217	0.628122	0	1.792946	1.146093	0.448939	0.947767	2.180778
