Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.lung	TPM.muscle	TPM.testis
ENSOCUG00000000178	23.84	0.18	0.07	123.22	10.73	0.11	6.59
ENSOCUG00000000179	946.01	1048.22	1384.33	1248.4	2509.41	916.39	1136.7
ENSOCUG00000000181	13.01	0.06	4.25	14.18	2.51	0.1	2.05
ENSOCUG00000000182	44.21	0.23	1.68	4.25	4.84	0	1.35
ENSOCUG00000000184	4.29	0.3	7.85	1.46	11.85	0.8	1.06
ENSOCUG00000000185	10.35	9.78	16.11	3.09	43.1	60.49	11.22
ENSOCUG00000000186	4.41	3.76	13.37	11.55	10.87	7.61	50.11
ENSOCUG00000000187	25.77	73.75	40.36	14.28	81.87	7.75	48.76
ENSOCUG00000000188	17.94	14.1	7.37	9.82	30.68	12.87	2.86
ENSOCUG00000000191	45.96	0.86	0.75	0.99	3.16	0.27	3.32
ENSOCUG00000000193	62.28	4.16	13.11	6.91	36.11	3.52	25.58
ENSOCUG00000000194	54.86	0.42	18.93	0.35	3.57	0.65	17.88
ENSOCUG00000000195	0.38	5.88	1.54	0.65	1.63	76.17	193.56
ENSOCUG00000000197	2.79	0.5	0.61	0.28	32.67	19.77	11.9
ENSOCUG00000000199	0.12	0.16	0.04	0.02	0.32	0.1	98.1
ENSOCUG00000000200	211.93	34.84	80.76	49.35	83.05	53.66	425.36
ENSOCUG00000000201	2.95	0.05	0.53	2.86	0.4	0.04	0.41
ENSOCUG00000000203	15.03	10.19	62.75	54.69	59.4	11.55	10.83
ENSOCUG00000000204	0	0	0	0	0	0	0.07
ENSOCUG00000000205	1.53	2.96	0	0	1.81	0.86	0
ENSOCUG00000000206	0.1	0.07	0	0	0	0	0.29
ENSOCUG00000000208	2.14	0.05	0.21	0.01	3.27	0.02	62.55
ENSOCUG00000000210	0	0.02	0	0	0	0	3.11
ENSOCUG00000000213	150.88	1.12	0.79	0.6	1.76	0.66	0.29
ENSOCUG00000000214	15.99	3.19	6.89	4.1	7.06	3.73	11.22
ENSOCUG00000000215	8.35	1.06	4.71	7.88	5.32	12.17	27.36
ENSOCUG00000000218	20.8	4.97	14.74	15.85	15.46	12.86	8.06
ENSOCUG00000000219	13.54	0	0	0	0	0	0.24
ENSOCUG00000000220	50.09	14.56	45.1	34.69	63.23	30.66	9.99
ENSOCUG00000000221	0	0	0	0	0	0	0
ENSOCUG00000000222	2.78	1.06	1.65	0.79	0.75	41.18	10.97
ENSOCUG00000000224	2.48	1.63	10.18	7.16	1.46	2.18	6.16
ENSOCUG00000000227	4.76	2.63	35.2	6.91	4.42	4.16	16.29
ENSOCUG00000000228	79.26	39.55	4.8	1.16	22.16	36.47	371.2
ENSOCUG00000000229	71.41	5.49	24.53	8.81	26.18	4.35	65.01
ENSOCUG00000000230	3.54	1.68	2.61	1.3	2.99	1.83	15.34
ENSOCUG00000000231	33.07	4.01	25.26	23.12	17.53	9.25	21.92
ENSOCUG00000000232	0.71	0.51	1.73	1.36	0.67	1.42	3.35
ENSOCUG00000000233	1064.25	0.89	0.27	0.07	0.24	0.08	2.73
ENSOCUG00000000234	46.07	16.15	19.73	11.4	39.86	36.14	9.38
ENSOCUG00000000236	111.9	13.95	1.6	0.51	6.65	12.55	12.9
ENSOCUG00000000237	6.15	2.4	2.16	0.61	5.95	2.53	16.81
ENSOCUG00000000239	0	0	85.71	0	0	0	1.92
ENSOCUG00000000241	13.55	1.88	6.03	1.77	6.04	1.88	8.31
ENSOCUG00000000242	0.27	10.16	0.23	0.07	0.15	33.8	14.1
ENSOCUG00000000243	0	0	0	0	0	0	0.27
ENSOCUG00000000244	29.6	9.04	10.22	10.12	23.74	17.07	2.75
ENSOCUG00000000245	72.98	28.65	41.49	21.48	41.23	151.34	285.91
ENSOCUG00000000247	46.15	7.92	18.31	5.13	28.1	4.97	12.17
ENSOCUG00000000248	31.95	12.94	31.27	31	28.12	136.68	29.63
ENSOCUG00000000249	86.84	47.56	9.19	2.07	17.34	71.11	30.81
ENSOCUG00000000250	0	0	0	0	0.22	0	0
ENSOCUG00000000251	68.79	31.54	60.22	34.76	111.56	48.9	55.06
ENSOCUG00000000252	105.58	0.2	0	0	2.82	0.36	0.23
ENSOCUG00000000255	9.92	7.78	11.49	11.54	29.98	9.45	8.6
ENSOCUG00000000256	11.42	1.97	4.94	0.48	6.22	5.43	124.61
ENSOCUG00000000258	28.24	11.35	20.99	10.02	43.94	12.95	13.11
ENSOCUG00000000259	17.54	11.9	15.22	2.35	24.21	25.47	2.66
ENSOCUG00000000263	3.89	1.8	1.86	0.91	3.63	0.96	2.38
ENSOCUG00000000264	32.96	10.73	35.88	39.06	28.89	38.88	57.66
ENSOCUG00000000265	150.45	1.03	0.75	0.02	0.8	0.19	9.66
ENSOCUG00000000266	2.26	0.37	1.04	0.16	5.27	0.7	28.33
ENSOCUG00000000268	1.89	0.03	0.07	0.01	0.78	0.12	2.35
ENSOCUG00000000269	7.2	5.43	12.12	5.26	13.42	4.9	34.65
ENSOCUG00000000270	31.17	13.67	37.93	44.82	81.93	23.93	78.26
ENSOCUG00000000271	1.52	4.35	15.64	1.81	13.56	3.19	5.96
ENSOCUG00000000272	71.93	26.57	72.6	54.67	72.63	39.35	109.26
ENSOCUG00000000274	9.36	3.81	5.19	7.4	8.48	4.7	6.54
ENSOCUG00000000276	7.81	6.55	8.6	21.25	18.65	1.12	24.76
ENSOCUG00000000277	23.76	3.19	5.82	2.44	3.57	7.89	15.51
ENSOCUG00000000278	42.52	11.37	13.91	13.68	29.25	20.42	56.16
ENSOCUG00000000280	1.03	0.2	0.01	0	0.4	0	0.32
ENSOCUG00000000281	13.52	3.19	12.77	15.29	19.8	4.23	5.08
ENSOCUG00000000285	8.67	10.27	18.49	49.03	65.01	5.58	38.9
ENSOCUG00000000286	49.3	78.36	102.38	135.02	34.76	1619.59	43.67
ENSOCUG00000000289	43.16	8.06	75.31	16.07	8.11	3.09	10.37
ENSOCUG00000000290	27.2	22.68	4.51	0.42	1.98	1.85	7.42
ENSOCUG00000000291	52.92	31.72	87.58	90.71	105.27	58.51	183.71
ENSOCUG00000000292	28.69	20.96	2.93	0.24	0.35	101.47	1.97
ENSOCUG00000000293	0.26	0	0.03	0.06	0.08	0.06	1.32
ENSOCUG00000000297	101.41	22.59	64.89	38.29	84.99	5.7	42.79
ENSOCUG00000000298	181.97	72.46	94.35	62.55	92.77	78.39	187.66
ENSOCUG00000000299	0.31	0	0	0	0.16	0	0.69
ENSOCUG00000000300	11.98	9.93	18.05	13.49	55.82	10.28	109.9
ENSOCUG00000000301	22.46	8.66	6.45	5.31	39.34	5.83	14.99
ENSOCUG00000000302	33.88	4.82	34.37	15.98	30.01	6.28	5.39
ENSOCUG00000000303	0.17	11.82	0.15	0.2	0.17	303.99	2.77
ENSOCUG00000000304	14.16	4.09	6.94	3.02	10.41	2.39	58.11
ENSOCUG00000000305	1.86	0.29	0.56	0.37	4.9	0.33	0.88
ENSOCUG00000000306	14.94	6.64	14.04	10.32	19.79	5.59	6.32
ENSOCUG00000000307	14.88	2.92	11.5	5.55	12.24	4.14	20.89
ENSOCUG00000000308	0	0.03	0	0.04	0.05	0	0.56
ENSOCUG00000000309	0	0	0	0	0	0	0.12
ENSOCUG00000000310	8.22	0.02	0.87	0	0.18	0.05	1.08
ENSOCUG00000000312	15.55	2.55	1.88	0.15	1.33	22.1	4.16
ENSOCUG00000000313	0	0	0	2.42	0.18	0.01	0.04
ENSOCUG00000000315	56.88	0.09	0.28	0.04	0.14	1.31	0.29
ENSOCUG00000000318	40.39	2.3	8.3	4.72	8.42	4.25	28.52
ENSOCUG00000000319	2.32	0.28	0.05	0.05	0.17	0.05	140.74
ENSOCUG00000000320	0.64	0.1	12.36	6.27	5.52	0.3	2.28
ENSOCUG00000000321	46	37.88	50.45	37.85	43.25	60.37	24.72
ENSOCUG00000000322	15.89	2.71	20.44	11.06	17.58	2.89	10.82
ENSOCUG00000000323	17.11	7.57	17.7	9.36	24.1	5.59	116.19
ENSOCUG00000000324	4.76	30.34	10.43	4.11	27.59	114.63	2.07
ENSOCUG00000000325	4.89	40.1	36.55	14.33	126.01	9.92	6.5
ENSOCUG00000000326	18.5	2.58	7.9	5.25	14.96	1.84	281.04
ENSOCUG00000000328	151.53	21.57	49.38	3.97	22.7	7.35	16.59
ENSOCUG00000000329	3.57	4.39	8.11	24.64	49.98	3.03	2.47
ENSOCUG00000000330	0	0	0.44	0.15	0.71	0	0.04
ENSOCUG00000000331	32.43	5	10.32	5.14	16.51	3.09	194.61
ENSOCUG00000000333	1.64	1.43	2.3	1.35	3.98	0.84	3.11
ENSOCUG00000000334	46	17.62	47.45	37.19	47.61	56.37	67.26
ENSOCUG00000000336	12.94	7.63	11.91	6.62	17.36	6.84	12
ENSOCUG00000000338	131.79	37.98	65.62	62.24	256.09	19.89	87.4
ENSOCUG00000000339	184.12	70.88	140.5	138.38	233.32	58.86	107.77
ENSOCUG00000000341	10.61	9.33	1.52	0.04	2.3	0.98	0.07
ENSOCUG00000000342	3.39	0.02	0.17	0.03	1.4	0.02	18.22
ENSOCUG00000000343	46.85	12.8	35.93	22.4	30.56	9.51	134.98
ENSOCUG00000000344	7.13	1.36	10.25	5.64	10.08	4.7	249.78
