Ens.ID	TPM.bones	TPM.brain	TPM.embryo	TPM.gill	TPM.kidney	TPM.heart	TPM.intestine	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSDARG00000040928	5.404214	0.124095	0	0.976909	0	0.035097	0.179827	0	12.215068	0	0.307127
ENSDARG00000040930	15.842768	37.133572	5.549442	32.31341	41.057701	11.002504	21.688187	31.672375	4.369604	0.229085	8.734947
ENSDARG00000040938	1.506081	0.272	0.889592	2.763958	2.283117	0.585082	0.992564	0.308915	1.407803	0.0839055	3.020268
ENSDARG00000040942	42.746374	48.215585	1.648056	0.232414	323.770494	0.215737	14.489011	0.027093	4.752641	0.097667	13.861999
ENSDARG00000040944	33.954064	6.746819	79.33381	10.358075	7.890956	18.273072	6.29859	0.026762	3.635412	0.976995	16.093161
ENSDARG00000040946	3.207812	44.104704	14.858484	0.018375	0.134287	0.073415	0.086093	0.261216	0.025249	0.1028375	0.647397
ENSDARG00000040948	0.543214	17.435448	0.093255	0	0.027335	0	0	0	0	0	0.104302
ENSDARG00000040955	0	0	0	0	0	0	0	0	0	0	0.269353
ENSDARG00000040959	8.656123	15.340728	11.429106	10.819214	22.495115	5.041265	8.928942	1.618507	4.584712	23.5298	55.517856
ENSDARG00000040965	0.248702	5.839124	1.167602	1.178767	0	0	0.792685	0	0	0.063749	5.276422
ENSDARG00000040966	7.359163	15.381684	10.853541	11.749717	16.807621	5.05557	3.728807	1.287577	3.115053	22.383217	14.67387
ENSDARG00000040971	70.500202	134.232145	58.75315	81.854711	88.964602	83.874269	20.603737	13.670101	61.174402	26.2486035	177.756863
ENSDARG00000040982	3.499409	59.264075	0.970454	0.245701	10.225207	51.867073	0.443811	0	1.15983	17.3961195	2.881506
ENSDARG00000040984	11.481314	17.124015	8.233695	9.792626	30.977569	9.258773	4.654464	3.32807	6.779014	39.141868	17.094484
ENSDARG00000040985	38.825207	16.71611	1.525787	11.482036	2.494442	1.856007	0.719981	0	28.489793	0.6510355	32.222073
ENSDARG00000040988	900.396797	444.501402	169.306015	225.829447	237.486884	1204.171484	317.320248	109.444897	744.622328	29.80842	107.576659
ENSDARG00000040990	17.023395	15.939178	19.915762	9.150865	56.912656	3.314654	3.224923	0.438928	7.032281	150.1809835	46.55996
ENSDARG00000040991	8.236544	50.436198	9.247392	5.717415	7.360124	11.280905	0.509882	0.047609	9.467693	5.3955085	7.758263
ENSDARG00000041003	0.200894	0.219046	0.047597	0	0	0	0	0	0	0	0
ENSDARG00000041005	0	0	0.030426	0	0.036203	0	0	0	0	0	0.101639
ENSDARG00000041006	6.726601	5.018905	6.426604	20.426674	15.680065	13.386568	1.846441	0.645843	2.185328	0.2147865	11.878546
ENSDARG00000041007	0.181491	0	0.723692	0.33086	0.766992	0.237249	2.631179	0	0	0	4.190908
ENSDARG00000041008	0.140736	3.94124	0.327006	0.484344	0.058823	0	0.028064	0	0	0.067675	4.321016
ENSDARG00000041011	50.220886	14.416719	18.240911	15.824566	107.781028	8.389788	12.178967	7.119834	26.60324	132.303099	47.716387
ENSDARG00000041019	0.133871	0.054458	0.02355	0	0.507271	0.02931	0.053683	0	0.03171	0.6135755	0.841083
ENSDARG00000041022	21.719287	88.883288	19.779626	25.011349	60.851343	7.988408	16.210395	4.519476	10.021257	76.5922055	68.876293
ENSDARG00000041024	0	0	0.028248	0	0.06736	0	0	0.040241	0	0	0.094002
ENSDARG00000041030	0	0	0	0	0.133089	0.046578	0	0	0	0	0.082932
ENSDARG00000041032	0.042963	0	0	0.037201	0.405743	0	0	0	0.038977	0.782388	0
ENSDARG00000041033	0	0	0.377666	0	0	0	0	0	0	0	0.056897
ENSDARG00000041034	0	0	0.233211	0	0	0	0	0	0	0	0.031868
ENSDARG00000041040	4.464504	6.987762	6.189997	7.704228	13.924806	1.951136	2.390161	0.213209	1.998174	17.2804595	11.56561
ENSDARG00000041041	7.332183	3.355428	1.001374	32.547058	16.983623	5.745776	8.200036	0.581981	1.993424	0.1333295	2.057094
ENSDARG00000041051	1.590029	5.06101	56.43249	157.773863	3.745155	0.400263	1.292231	0.040085	2.561938	23.904258	1.129538
ENSDARG00000041060	11.681806	6.698623	0.974681	45.581556	48.297576	11.382713	85.420729	0.929202	2.199821	3.211541	24.704263
ENSDARG00000041062	12.839727	186.569747	1.472379	15.651348	0.802437	0.372872	1.709535	0.166714	0.067386	0	1.701243
ENSDARG00000041065	486.841224	41.478555	258.977745	51.835237	22.361959	1371.939884	10.481183	1.571665	1407.153836	67.8742935	36.495097
ENSDARG00000041068	122.666711	49.306997	5.973553	61.752598	77.813276	568.071368	105.671342	41.966831	145.248722	58.7931455	19.421383
ENSDARG00000041071	2.57675	30.359682	11.099175	0.285247	0.577929	0.102481	0.183991	0.045435	0.217571	1.1083105	1.160017
ENSDARG00000041072	15.017652	17.708077	47.72998	20.307628	35.87658	5.815864	7.606588	2.41816	5.431339	103.6280315	44.611419
ENSDARG00000041073	0.504954	0.142925	0.371136	0.270866	0.146704	0.726406	0.105055	0	0.12301	0	23.301575
ENSDARG00000041078	32.924835	106.97227	5.124783	43.407547	45.595006	13.036632	24.448842	53.754436	8.993971	0.448357	34.30829
ENSDARG00000041080	1.89435	5.900316	4.74323	2.052924	1.649931	2.600651	1.126679	0.268836	0.511535	0.8982375	14.134635
ENSDARG00000041081	12.899036	32.238689	27.286636	29.347287	32.886264	8.479304	7.801611	2.935404	5.634113	31.645426	30.976346
ENSDARG00000041083	0.313686	0.536465	0.141481	0.708353	0.547883	0.312967	165.568081	0.510979	0.067585	0.0268815	2.391181
ENSDARG00000041085	11.260702	13.97054	6.938918	26.667512	20.374813	14.116673	18.573971	4.03411	4.2917	8.5223645	30.950109
ENSDARG00000041086	0.662422	42.677557	0.558493	1.404463	0.765983	0.397897	3.317451	0.085771	0.065659	0.0487405	5.135424
ENSDARG00000041092	2.011029	0.859326	0.537847	0.422141	1.034437	1.175724	0	0	3.426797	0	11.412894
ENSDARG00000041098	0.113592	0	1.522965	4.583914	0	0.107717	0.037627	0.045363	1.063979	0.04475	0.364485
ENSDARG00000041107	1.591937	0.406512	0.572854	1.165242	0.226074	0.079645	7.755204	0.026613	0.057897	0.1574255	35.327697
